orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
meyer werft gmbh und co kg,189663239,meyer werft gmbh und co kg,meyer werft gmbh und co kg,b4e45b29-4d62-4cfb-bf2d-a70f3afcb0de,meyer werft gmbh und co kg,exact_match,
nordzucker ag,2289351,nordzucker ag,nordzucker ag,a095ce77-257d-4c09-8cbd-942340ccacbf,nordzucker ag,exact_match,
bunge deutschland gmbh,2691250,bunge deutschland gmbh,bunge deutschland gmbh,6f0b2358-830e-4feb-8ff2-97ba89bee98f,bunge deutschland gmbh,exact_match,
volvo car germany gmbh,2563583,volvo car germany gmbh,volvo car germany gmbh,ae3e362a-398a-43f6-985b-9009b0bcd981,volvo car germany gmbh,exact_match,
hermes germany gmbh,68779291,hermes germany gmbh,hermes germany gmbh,301e1900-2743-4445-802f-39f062f52d4e,hermes germany gmbh,exact_match,
die autobahn gmbh des bundes,392332531,die autobahn gmbh des bundes,die autobahn gmbh des bundes,c18915f5-ba4e-4d3c-b42e-c80c0b0e3d38,die autobahn gmbh des bundes,exact_match,
next kraftwerke gmbh,76317313,next kraftwerke gmbh,next kraftwerke gmbh,e5f1cf0e-0cb6-4c62-9426-a3cbe4e4ad26,next kraftwerke gmbh,exact_match,
auktion und markt ag,12073383,auktion und markt ag,auktion und markt ag,ff96cee6-30b7-458c-bfc9-ecb6444cce5b,auktion und markt ag,exact_match,
deutz ag,2555246,deutz ag,deutz ag,93898a99-e640-4371-a45d-dcf7f3a5b25c,deutz ag,exact_match,
kaefer se und co kg,2291044,kaefer se und co kg,kaefer se und co kg,699210b3-08eb-43d2-a96c-6932ca849d7e,kaefer se und co kg,exact_match,
reemtsma cigarettenfabriken gmbh,48980971,reemtsma cigarettenfabriken gmbh,reemtsma cigarettenfabriken gmbh,1809d847-4a46-4eea-bbc6-a2d118b7112b,reemtsma cigarettenfabriken gmbh,exact_match,
riva stahl gmbh,2273990,riva stahl gmbh,riva stahl gmbh,941f67c9-9bd2-49d8-995b-c61a6cad4fb1,riva stahl gmbh,exact_match,
leonhard weiss gmbh und co kg,7107427,leonhard weiss gmbh und co kg,leonhard weiss gmbh und co kg,4f8353dc-0a86-42ae-990e-880aa31005fa,leonhard weiss gmbh und co kg,exact_match,
peri se,2826182,peri se,peri se,e4bd1504-4e2f-4c62-82f5-40b970c30d42,peri se,exact_match,
softwareone deutschland gmbh,48993802,softwareone deutschland gmbh,softwareone deutschland gmbh,f9487681-9ce5-43eb-a454-60f0b472c61a,softwareone deutschland gmbh,exact_match,
lidl digital international gmbh und co kg,49049898,lidl digital international gmbh und co kg,lidl digital international gmbh und co kg,3e8d236a-3ccf-42c7-ae03-539c5dd54ae1,lidl digital international gmbh und co kg,exact_match,
siltronic ag,9297593,siltronic ag,siltronic ag,63b75820-4fc8-455b-9034-458239255ca1,siltronic ag,exact_match,
elringklinger ag,48981105,elringklinger ag,elringklinger ag,73e97948-5cae-442c-9418-86381f491cf7,elringklinger ag,exact_match,
sto se und co kgaa,2740002,sto se und co kgaa,sto se und co kgaa,77f19cba-de49-43df-971f-26fe19011d1c,sto se und co kgaa,exact_match,
eoptimum ag,73204477,eoptimum ag,eoptimum ag,21c51e4d-7e82-4c88-85f1-674b5be38104,eoptimum ag,exact_match,
fti touristik gmbh,61051698,fti touristik gmbh,fti touristik gmbh,4b654f72-f310-46d8-b20c-2e22bd5831ba,fti touristik gmbh,exact_match,
wilo se,2467435,wilo se,wilo se,85d510c0-e526-4b68-91c0-779cdc1c4e3b,wilo se,exact_match,
verbio evigte bioenergie ag,60278693,verbio evigte bioenergie ag,verbio evigte bioenergie ag,a007d5bd-de1b-4556-bcc3-134b37e53dc1,verbio evigte bioenergie ag,exact_match,
berliner verkehrsbetriebe bvg,2262711,berliner verkehrsbetriebe bvg,berliner verkehrsbetriebe bvg,00b7fa76-f6d0-4924-bcc0-c62f598816c1,berliner verkehrsbetriebe bvg,exact_match,
bg kliniken klinikverbund der gesetzlichen unfallversicherung ggmbh,192076597,bg kliniken klinikverbund der gesetzlichen unfallversicherung ggmbh,bg kliniken klinikverbund der gesetzlichen unfallversicherung ggmbh,4f22ce1e-7a43-4fc5-b788-c5178a3b49c8,bg kliniken klinikverbund der gesetzlichen unfallversicherung ggmbh,exact_match,
scholz recycling gmbh,61736162,scholz recycling gmbh,scholz recycling gmbh,d3ec511a-f967-4172-992c-769df2c68088,scholz recycling gmbh,exact_match,
abbvie deutschland gmbh und co kg,137511898,abbvie deutschland gmbh und co kg,abbvie deutschland gmbh und co kg,dd5864f8-b4d1-4179-8637-4a2c85eb9317,abbvie deutschland gmbh und co kg,exact_match,
arla foods deutschland gmbh,12066798,arla foods deutschland gmbh,arla foods deutschland gmbh,3e286f29-6aa1-4020-8345-dee14fe869c5,arla foods deutschland gmbh,exact_match,
